mentioned by,developer,model description,source,file name,license,license link,updated
Wantclue,RGZen,Stencil holder from RGZen,https://discord.com/channels/1091348375301013615/1186687784489062430/1188220221895495802,Stencil holder from RGZe_n_stencil_tool_V3.stl,?,?,
Bee Evolved,Bee Evolved,AxeKnox,https://github.com/BeeEvolved/bitaxe-accessories/tree/main/AxeKnox,,GPL-3.0 license,https://github.com/BeeEvolved/bitaxe-accessories/tree/main?tab=GPL-3.0-1-ov-file,
Zazu,Andrew Nelson,Bitaxe / Bitaxe Ultra Mount System,https://www.printables.com/model/691966-bitaxe-bitaxe-ultra-mount-system,,Creative Commons (4.0 International License),http://creativecommons.org/licenses/by-sa/4.0/,
Bee Evolved,Bee Evolved,FlowLite,https://github.com/BeeEvolved/bitaxe-accessories/tree/main/LiteFlow,,GPL-3.0 license,https://github.com/BeeEvolved/bitaxe-accessories/tree/main?tab=GPL-3.0-1-ov-file,
mmx,Bee Evolved,BitaxeByHandJig,https://github.com/BeeEvolved/bitaxe-accessories/tree/main/BitaxeByHandJig,,GPL-3.0 license,https://github.com/BeeEvolved/bitaxe-accessories/tree/main?tab=GPL-3.0-1-ov-file,
Bee Evolved,Bee Evolved,Bitaxe Ultra 204,https://github.com/BeeEvolved/bitaxe-accessories/tree/main/Bitaxe%20Ultra%20204,,GPL-3.0 license,https://github.com/BeeEvolved/bitaxe-accessories/tree/main?tab=GPL-3.0-1-ov-file,
HoneyBadger,D-central,bit-stand_v204.01,https://d-central.tech/dl/TheBitaxeStandv2.zip,TheBitaxeStandv2.zip,?,?,
Skot,IamGPIO,Bitaxe-Kick-Stand,https://github.com/IamGPIO/Bitaxe-Kick-Stand,,CC0-1.0 license,https://github.com/IamGPIO/Bitaxe-Kick-Stand?tab=CC0-1.0-1-ov-file,
Steven,Ppodd,80mm to 40mm fan adapter,https://www.thingiverse.com/thing:3286329,, Creative Commons - Attribution - Share Alike ,https://creativecommons.org/licenses/by-sa/3.0/,
rul3s,rul3s,80mmFanAdapterV2,https://discord.com/channels/1091348375301013615/1186687784489062430/1233146380206473348,rul3s-80mmFanAdapterV2.stl,,,
rul3s,rul3s,The_Bitaxe_Stand_v2_Official.stl,https://discord.com/channels/1091348375301013615/1186687784489062430/1233359075631431693,rul3s-The_Bitaxe_Stand_v2_Official.stl,?,?,
Bee Evolved,Bee Evolved,DIN BasePlate,https://github.com/BeeEvolved/bitaxe-accessories/tree/main/DIN/BasePlate,,GPL-3.0 license,https://github.com/BeeEvolved/bitaxe-accessories/tree/main?tab=GPL-3.0-1-ov-file,
Printer Go Brrr,Printer Go Brrr,Bitaxe-DINRail-Mount_V2,https://discord.com/channels/1091348375301013615/1186687784489062430/1253259992551915560,Printer Go Brrr-Bitaxe-DINRail-Mount_V2.stl,?,?,
SatStackingPleb,SatStackingPleb,"Bitaxe-Hex-CAD
",https://github.com/SatStackingPleb/Bitaxe-Hex-CAD,,GPL-3.0 license,https://github.com/SatStackingPleb/Bitaxe-Hex-CAD?tab=GPL-3.0-1-ov-file,
KryptykHex,KryptykHex,Argon-THRML-60-socket,https://discord.com/channels/1091348375301013615/1186687784489062430/1268275001736298598,KryptykHex-Argon-THRML-60-socket.stl,?,?,
KryptykHex,KryptykHex,Bitaxe-Socket-Ice-Tower-Cooler-52pi-v2.stl,https://discord.com/channels/1091348375301013615/1186687784489062430/1268275001736298598,KryptykHex-Bitaxe-Socket-Ice-Tower-Cooler-52pi-v2.stl,?,?,
KryptykHex,KryptykHex,Bitaxe-Socket-Ice-Tower-Cooler-52pi-v1.2-4pins.stl,https://discord.com/channels/1091348375301013615/1186687784489062430/1268275001736298598,KryptykHex-Bitaxe-Socket-Ice-Tower-Cooler-52pi-v1.2-4pins.stl,?,?,
Silexperience,Silexperience,Boitier_Hex_test,https://discord.com/channels/1091348375301013615/1186687784489062430/1273206949877518406,Silexperience-Boitier_Hex_test.stl,?,?,
Silexperience,Silexperience,TOP_Test2,https://discord.com/channels/1091348375301013615/1186687784489062430/1273206949877518406,Silexperience-TOP_Test2.st,?,?,
Silexperience,Silexperience,PSU_98cm_5V10A,https://discord.com/channels/1091348375301013615/1186687784489062430/1274674075993772085,Silexperience-PSU_98cm_5V10A.stl,?,?,
Silexperience,Silexperience,Bitaxe_Single-tray,https://discord.com/channels/1091348375301013615/1186687784489062430/1274742063828570243,Silexperience-Bitaxe_Single-tray.zip,,,
Silexperience,Silexperience,bitaxe-ultra-single-tray_All,https://discord.com/channels/1091348375301013615/1186687784489062430/1274742063828570243,Silexperience-bitaxe-ultra-single-tray_All.stl,,,
Silexperience,Silexperience,Bitaxe-ultra-single-tray,https://discord.com/channels/1091348375301013615/1186687784489062430/1274742063828570243,Silexperience-bitaxe-ultra-single-tray.stl,,,
Silexperience,Silexperience,bitaxe-ultra-single-tray_Top,https://discord.com/channels/1091348375301013615/1186687784489062430/1274742063828570243,Silexperience-bitaxe-ultra-single-tray_Top.stl,,,
Hardstyles,"Hardstyles
",Lucky Miner LV07 Side Panel for Noctua 60x60x25 Fan,https://cults3d.com/de/modell-3d/verschiedene/lucky-miner-lv07-side-panel-for-noctua-60x60x25-fan,,"	
CULTS PU
No AI",https://cults3d.com/en/licenses#cults_pu,
Silexperience,Silexperience,Boitier_1TH_complet,https://discord.com/channels/1091348375301013615/1186687784489062430/1283725278656467004,Silexperience-Boitier_1TH_complet.3mf,?,?,
Bee Evolved,Bee Evolved,Halloween-Bitaxe-HandStand,https://github.com/BeeEvolved/Halloween-Bitaxe,,GPL-3.0 license,https://github.com/BeeEvolved/Halloween-Bitaxe?tab=GPL-3.0-1-ov-file,
CaseRocker,CaseRocker,Extendable_Stand_both,https://discord.com/channels/1091348375301013615/1186687784489062430/1287087944640761876,CaseRocker-Extendable_Stand_both.3mf,?,?,
hansmade,hansmade3D,MEAN WELL RS-150-5_cover,https://www.printables.com/model/1020215-mean-well-rs-150-5_cover,,"Creative Commons (4.0 International License)
Attribution
",https://creativecommons.org/licenses/by/4.0/,
Bee Evolved,Bee Evolved,Bitaxe Spring DIN mount,https://github.com/BeeEvolved/bitaxe-accessories/tree/main/DIN/spring,,GPL-3.0 license,https://github.com/BeeEvolved/bitaxe-accessories/tree/main?tab=GPL-3.0-1-ov-file,
BaggerfahrerChantalle,BaggerfahrerChantalle,Argon_THRML_Socket,https://discord.com/channels/1091348375301013615/1186687784489062430/1292100635407286453,BaggerfahrerChantalle-A-Argon_THRML_Socket.stl,?,?,
BaggerfahrerChantalle,BaggerfahrerChantalle,Argon-THRML-60-socket,https://discord.com/channels/1091348375301013615/1186687784489062430/1292100635407286453,BaggerfahrerChantalle-Argon-THRML-60-socket.stl,?,?,
uKnowMister,uKnowMister,Bitaxe Skadis Mount / Standoffs,https://cults3d.com/en/3d-model/tool/bitaxe-skadis-mount,,"	
CULTS PU
No AI",https://cults3d.com/en/licenses#cults_pu,
uKnowMister,uKnowMister,Bitaxe Skadis M3 Standoff,https://discord.com/channels/1091348375301013615/1186687784489062430/1292599127762276485,uKnowMister-Bitaxe Skadis M3 Standoff.3mf,?,?,
uKnowMister,uKnowMister,Bitaxe Skadis M3 Standoff No Clearance.3mf,https://discord.com/channels/1091348375301013615/1186687784489062430/1292631725653885040,uKnowMister-Bitaxe Skadis M3 Standoff No Clearance.3mf,,,
Silexperience,Silexperience,Geekpi IceTower Plus Low profil Heatsink Bitaxe,https://www.thingiverse.com/thing:6811324,,GNU – LGPL,https://www.gnu.org/licenses/old-licenses/lgpl-2.1.html,
Silexperience,Silexperience,The+Bitaxe+2025.3,https://discord.com/channels/1091348375301013615/1186687784489062430/1300221893391028397,Silexperience-The+Bitaxe+2025.3.stl,?,?,
BaggerfahrerChantalle, StonyCow ,Noctua Argon THRML 60 Fan Adapter,https://www.thingiverse.com/thing:6772717,, Creative Commons - Attribution - Non-Commercial ,https://creativecommons.org/licenses/by-nc/4.0/,
Printer Go Brrr,Printer Go Brrr,Bitaxe Gamma 601,https://www.printables.com/model/1057442-bitaxe-gamma-601,,"Creative Commons (4.0 International License)
Attribution—Noncommercial—Share Alike
",https://creativecommons.org/licenses/by-nc-sa/4.0/,
MrV, TheKeyStonePrinter ,Bitaxe stand and box cooler,https://www.thingiverse.com/thing:6787636,, Creative Commons - Attribution - Share Alike ,https://creativecommons.org/licenses/by-sa/3.0/,
DahComrade, TheKeyStonePrinter ,Bitaxe Hex side-mount cooler,https://www.thingiverse.com/thing:6819513,, Creative Commons - Attribution - Share Alike ,https://creativecommons.org/licenses/by-sa/3.0/,
DahComrade, TheKeyStonePrinter ,Bitaxe Hex Stand,https://www.thingiverse.com/thing:6819526,, Creative Commons - Attribution - Share Alike ,https://creativecommons.org/licenses/by-sa/3.0/,
BaggerfahrerChantalle,ValidAsian,Noctua Inspired Desk Fan Mount,https://www.printables.com/model/889331-noctua-inspired-desk-fan-mount,,"Creative Commons (4.0 International License)
Attribution-NonCommercial",https://creativecommons.org/licenses/by-nc/4.0/,
BaggerfahrerChantalle,OCaxe ,"
52Pi Ice Tower Low-Profile Plus Noctua Shroud",https://www.thingiverse.com/thing:6828499,, Creative Commons - Attribution - Non-Commercial - Share Alike ,https://creativecommons.org/licenses/by-nc-sa/4.0/,
MrV,MrV,"
Bitaxe rear fan enclosure adapter",https://makerworld.com/en/models/779666#profileId-716598,,Creative Commons Attribution-Noncommercial-Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,
MrV,MrV,"
Bitaxe Board Front Enclosure for 60mm Fan",https://makerworld.com/en/models/785447#profileId-722998,,Creative Commons Attribution-Noncommercial-Share Alike,https://creativecommons.org/licenses/by-nc-sa/4.0/,
MrV,MrV,Bitaxe 60mm front v22,https://discord.com/channels/1091348375301013615/1186687784489062430/1306976327567675463,MrV-Bitaxe 60mm front v22.f3d,?,?,
MrV,MrV,Back v6,https://discord.com/channels/1091348375301013615/1186687784489062430/1306976687522578433,MrV-Back v6.f3d,?,?,
chilling_bee,chilling_bee,Bitaxe Stand with back fan,https://discord.com/channels/1091348375301013615/1186687784489062430/1317795507787010079,chilling_bee-Bitaxe Stand with back fan.stl,?,?,
MrV,MrV,"
Bitaxe - Screen Support",https://www.thingiverse.com/thing:6832465,,Creative Commons - Attribution - Share Alike ,https://creativecommons.org/licenses/by-sa/3.0/,
MrV,FredBuster ,"
Bitaxe Ultra enclosure",https://www.thingiverse.com/thing:6562495,, Creative Commons - Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,
,,,,,,,12-16-2024
